Correct,Correct Score,Incorrect,Incorrect Score,Result
Léo n'a touché aucun arbre.,745.521,Léo a touché aucun arbre.,2894.336,1
Stephan n'a recherché aucun livre.,3672.4885,Stephan a recherché aucun livre.,10707.277,1
Chloe n'a entendu aucune chanson.,327.03516,Chloe a entendu aucune chanson.,481.9782,1
Eloise n'a dit aucun nom.,437.41446,Eloise a dit aucun nom.,478.0108,1
Anaïs n'a trouvé aucun trésor.,642.78534,Anaïs a trouvé aucun trésor.,1714.4121,1
Joseph n'a commis aucun crime.,238.37918,Joseph a commis aucun crime.,447.88416,1
Nous n'avons vu aucun étudiant.,203.04903,Nous avons vu aucun étudiant.,964.84344,1
Nous n'avons engagé aucun soldat.,263.39972,Nous avons engagé aucun soldat.,1806.4542,1
Nous n'avons touché aucun arbre.,261.89423,Nous avons touché aucun arbre.,1005.7889,1
Nous n'avons recherché aucun livre.,411.88837,Nous avons recherché aucun livre.,1308.2542,1
Nous n'avons entendu aucune chanson.,152.49904,Nous avons entendu aucune chanson.,881.117,1
Nous n'avons dit aucun nom.,210.17877,Nous avons dit aucun nom.,827.758,1
Nous n'avons trouvé aucun trésor.,214.4568,Nous avons trouvé aucun trésor.,1036.7373,1
Nous n'avons commis aucun crime.,115.35865,Nous avons commis aucun crime.,488.58505,1
Vous n'avez vu aucun étudiant.,470.3996,Vous avez vu aucun étudiant.,1863.3024,1
Vous n'avez engagé aucun soldat.,676.7562,Vous avez engagé aucun soldat.,2630.493,1
Vous n'avez touché aucun arbre.,458.82648,Vous avez touché aucun arbre.,1173.6227,1
Vous n'avez recherché aucun livre.,753.0928,Vous avez recherché aucun livre.,4240.5063,1
Vous n'avez entendu aucune chanson.,349.62848,Vous avez entendu aucune chanson.,1227.6632,1
Vous n'avez dit aucun nom.,458.04395,Vous avez dit aucun nom.,743.6634,1
Vous n'avez trouvé aucun trésor.,687.1992,Vous avez trouvé aucun trésor.,1721.1221,1
Vous n'avez commis aucun crime.,217.82869,Vous avez commis aucun crime.,482.9539,1
Ils n'ont vu aucun étudiant.,676.0434,Ils ont vu aucun étudiant.,1234.6693,1
Ils n'ont engagé aucun soldat.,653.72577,Ils ont engagé aucun soldat.,1528.3943,1
Ils n'ont touché aucun arbre.,778.1995,Ils ont touché aucun arbre.,1432.7354,1
Ils n'ont recherché aucun livre.,1610.9205,Ils ont recherché aucun livre.,2267.1296,1
Elles n'ont entendu aucune chanson.,362.18726,Elles ont entendu aucune chanson.,1004.572,1
Elles n'ont dit aucun nom.,404.62827,Elles ont dit aucun nom.,582.2723,1
Elles n'ont trouvé aucun trésor.,297.12695,Elles ont trouvé aucun trésor.,633.2654,1
Elles n'ont commis aucun crime.,135.53717,Elles ont commis aucun crime.,263.05884,1
,,,,96
